,name,id,image_path,type1,type2
0,bulbasaur,1,../dataset-v2/bulbasaur/bulbasaur_0.png,grass,poison
1,bulbasaur,1,../dataset-v2/bulbasaur/bulbasaur_1.png,grass,poison
2,bulbasaur,1,../dataset-v2/bulbasaur/bulbasaur_2.png,grass,poison
3,bulbasaur,1,../dataset-v2/bulbasaur/bulbasaur_3.png,grass,poison
4,ivysaur,2,../dataset-v2/ivysaur/ivysaur_0.png,grass,poison
5,ivysaur,2,../dataset-v2/ivysaur/ivysaur_1.png,grass,poison
6,ivysaur,2,../dataset-v2/ivysaur/ivysaur_2.png,grass,poison
7,ivysaur,2,../dataset-v2/ivysaur/ivysaur_3.png,grass,poison
8,venusaur,3,../dataset-v2/venusaur/venusaur_0.png,grass,poison
9,venusaur,3,../dataset-v2/venusaur/venusaur_1.png,grass,poison
10,venusaur,3,../dataset-v2/venusaur/venusaur_2.png,grass,poison
11,venusaur,3,../dataset-v2/venusaur/venusaur_3.png,grass,poison
12,venusaur,3,../dataset-v2/venusaur/venusaur_4.png,grass,poison
13,venusaur,3,../dataset-v2/venusaur/venusaur_5.png,grass,poison
14,venusaur,3,../dataset-v2/venusaur/venusaur_6.png,grass,poison
15,venusaur,3,../dataset-v2/venusaur/venusaur_7.png,grass,poison
16,charmander,4,../dataset-v2/charmander/charmander_0.png,fire,
17,charmander,4,../dataset-v2/charmander/charmander_1.png,fire,
18,charmander,4,../dataset-v2/charmander/charmander_2.png,fire,
19,charmander,4,../dataset-v2/charmander/charmander_3.png,fire,
20,charmeleon,5,../dataset-v2/charmeleon/charmeleon_0.png,fire,
21,charmeleon,5,../dataset-v2/charmeleon/charmeleon_1.png,fire,
22,charmeleon,5,../dataset-v2/charmeleon/charmeleon_2.png,fire,
23,charmeleon,5,../dataset-v2/charmeleon/charmeleon_3.png,fire,
24,charizard,6,../dataset-v2/charizard/charizard_0.png,fire,flying
25,charizard,6,../dataset-v2/charizard/charizard_1.png,fire,flying
26,charizard,6,../dataset-v2/charizard/charizard_2.png,fire,flying
27,charizard,6,../dataset-v2/charizard/charizard_3.png,fire,flying
28,squirtle,7,../dataset-v2/squirtle/squirtle_0.png,water,
29,squirtle,7,../dataset-v2/squirtle/squirtle_1.png,water,
30,squirtle,7,../dataset-v2/squirtle/squirtle_2.png,water,
31,squirtle,7,../dataset-v2/squirtle/squirtle_3.png,water,
32,wartortle,8,../dataset-v2/wartortle/wartortle_0.png,water,
33,wartortle,8,../dataset-v2/wartortle/wartortle_1.png,water,
34,wartortle,8,../dataset-v2/wartortle/wartortle_2.png,water,
35,wartortle,8,../dataset-v2/wartortle/wartortle_3.png,water,
36,blastoise,9,../dataset-v2/blastoise/blastoise_0.png,water,
37,blastoise,9,../dataset-v2/blastoise/blastoise_1.png,water,
38,blastoise,9,../dataset-v2/blastoise/blastoise_2.png,water,
39,blastoise,9,../dataset-v2/blastoise/blastoise_3.png,water,
40,caterpie,10,../dataset-v2/caterpie/caterpie_0.png,bug,
41,caterpie,10,../dataset-v2/caterpie/caterpie_1.png,bug,
42,caterpie,10,../dataset-v2/caterpie/caterpie_2.png,bug,
43,caterpie,10,../dataset-v2/caterpie/caterpie_3.png,bug,
44,metapod,11,../dataset-v2/metapod/metapod_0.png,bug,
45,metapod,11,../dataset-v2/metapod/metapod_1.png,bug,
46,metapod,11,../dataset-v2/metapod/metapod_2.png,bug,
47,metapod,11,../dataset-v2/metapod/metapod_3.png,bug,
48,butterfree,12,../dataset-v2/butterfree/butterfree_0.png,bug,flying
49,butterfree,12,../dataset-v2/butterfree/butterfree_1.png,bug,flying
50,butterfree,12,../dataset-v2/butterfree/butterfree_2.png,bug,flying
51,butterfree,12,../dataset-v2/butterfree/butterfree_3.png,bug,flying
52,butterfree,12,../dataset-v2/butterfree/butterfree_4.png,bug,flying
53,butterfree,12,../dataset-v2/butterfree/butterfree_5.png,bug,flying
54,butterfree,12,../dataset-v2/butterfree/butterfree_6.png,bug,flying
55,butterfree,12,../dataset-v2/butterfree/butterfree_7.png,bug,flying
56,weedle,13,../dataset-v2/weedle/weedle_0.png,bug,poison
57,weedle,13,../dataset-v2/weedle/weedle_1.png,bug,poison
58,weedle,13,../dataset-v2/weedle/weedle_2.png,bug,poison
59,weedle,13,../dataset-v2/weedle/weedle_3.png,bug,poison
60,kakuna,14,../dataset-v2/kakuna/kakuna_0.png,bug,poison
61,kakuna,14,../dataset-v2/kakuna/kakuna_1.png,bug,poison
62,kakuna,14,../dataset-v2/kakuna/kakuna_2.png,bug,poison
63,kakuna,14,../dataset-v2/kakuna/kakuna_3.png,bug,poison
64,beedrill,15,../dataset-v2/beedrill/beedrill_0.png,bug,poison
65,beedrill,15,../dataset-v2/beedrill/beedrill_1.png,bug,poison
66,beedrill,15,../dataset-v2/beedrill/beedrill_2.png,bug,poison
